iter	Passed	Remaining
0	0	517
1	0	408
2	1	349
3	1	334
4	1	319
5	1	303
6	2	298
7	2	299
8	2	295
9	2	293
10	3	290
11	3	305
12	4	317
13	4	313
14	4	310
15	5	307
16	5	306
17	5	305
18	5	303
19	6	301
20	6	298
21	6	296
22	6	293
23	7	291
24	7	288
25	7	288
26	7	287
27	8	293
28	8	297
29	9	299
30	9	297
31	9	296
32	10	297
33	10	295
34	10	293
35	10	290
36	11	289
37	11	287
38	11	285
39	11	284
40	12	282
41	12	283
42	12	285
43	13	283
44	13	282
45	13	280
46	13	279
47	13	277
48	14	276
49	14	276
50	14	275
51	15	274
52	15	274
53	15	273
54	16	275
55	16	275
56	16	274
57	16	275
58	17	274
59	17	274
60	17	275
61	18	279
62	18	280
63	19	279
64	19	277
65	19	277
66	19	276
67	19	272
68	20	272
69	20	271
70	20	270
71	20	270
72	21	269
73	21	268
74	21	268
75	21	266
76	22	266
77	22	268
78	22	267
79	23	266
80	23	265
81	23	264
82	23	264
83	24	263
84	24	261
85	24	261
86	24	259
87	24	258
88	25	258
89	25	257
90	25	258
91	26	259
92	26	259
93	26	258
94	27	258
95	27	257
96	27	256
97	27	255
98	28	255
99	28	254
100	28	253
101	28	251
102	28	251
103	29	250
104	29	250
105	29	250
106	30	253
107	30	253
108	30	252
109	31	252
110	31	251
111	31	250
112	31	249
113	32	249
114	32	248
115	32	247
116	32	246
117	32	245
118	33	244
119	33	244
120	33	244
121	33	243
122	33	241
123	34	241
124	34	240
125	34	240
126	34	240
127	35	238
128	35	238
129	35	238
130	35	238
131	36	238
132	36	237
133	36	237
134	36	236
135	37	235
136	37	235
137	37	234
138	37	234
139	38	233
140	38	233
141	38	232
142	38	232
143	39	231
144	39	231
145	39	230
146	39	230
147	39	230
148	40	229
149	40	229
150	40	228
151	40	228
152	41	227
153	41	227
154	41	226
155	41	226
156	42	225
157	42	225
158	42	225
159	42	224
160	43	224
161	43	224
162	43	223
163	43	223
164	44	223
165	44	223
166	44	223
167	45	222
168	45	222
169	45	222
170	45	221
171	45	221
172	46	220
173	46	220
174	46	219
175	46	219
176	47	219
177	47	219
178	47	219
179	48	219
180	48	218
181	48	218
182	48	218
183	49	217
184	49	217
185	49	217
186	49	216
187	50	216
188	50	215
189	50	215
190	50	215
191	51	214
192	51	214
193	51	214
194	51	213
195	51	213
196	52	212
197	52	212
198	52	211
199	52	211
200	53	211
201	53	210
202	53	210
203	53	210
204	54	209
205	54	209
206	54	209
207	54	208
208	55	208
209	55	208
210	55	207
211	55	207
212	56	207
213	56	206
214	56	206
215	56	205
216	56	205
217	57	205
218	57	204
219	57	204
220	57	203
221	58	203
222	58	203
223	58	202
224	58	202
225	59	202
226	59	202
227	59	202
228	60	202
229	60	202
230	60	201
231	61	202
232	61	202
233	61	201
234	61	201
235	62	201
236	62	200
237	62	200
238	62	200
239	63	199
240	63	199
241	63	198
242	63	198
243	63	198
244	64	197
245	64	197
246	64	197
247	65	197
248	65	196
249	65	196
250	65	196
251	66	196
252	66	196
253	66	195
254	66	195
255	67	194
256	67	194
257	67	194
258	67	194
259	68	193
260	68	193
261	68	192
262	68	192
263	68	192
264	69	191
265	69	191
266	69	191
267	70	191
268	70	191
269	70	191
270	71	191
271	71	191
272	71	190
273	71	190
274	72	190
275	72	190
276	72	189
277	72	189
278	73	188
279	73	188
280	73	188
281	74	189
282	74	189
283	75	189
284	75	189
285	75	189
286	76	189
287	76	188
288	76	188
289	76	188
290	77	188
291	77	187
292	77	187
293	77	187
294	78	186
295	78	186
296	78	186
297	78	186
298	79	185
299	79	185
300	79	185
301	80	185
302	80	184
303	80	184
304	80	184
305	81	184
306	81	183
307	81	183
308	81	183
309	82	182
310	82	182
311	82	182
312	82	181
313	83	181
314	83	181
315	83	180
316	83	180
317	83	179
318	84	179
319	84	179
320	84	178
321	84	178
322	85	178
323	85	177
324	85	177
325	85	177
326	86	177
327	86	177
328	86	177
329	87	177
330	87	176
331	87	176
332	88	176
333	88	176
334	88	175
335	88	175
336	89	175
337	89	175
338	89	175
339	90	174
340	90	174
341	90	174
342	90	173
343	91	173
344	91	173
345	91	172
346	91	172
347	92	172
348	92	172
349	92	172
350	93	172
351	93	172
352	93	172
353	94	172
354	94	171
355	94	171
356	95	171
357	95	171
358	96	171
359	96	171
360	96	171
361	96	170
362	97	170
363	97	170
364	97	170
365	98	169
366	98	169
367	98	169
368	98	168
369	99	168
370	99	168
371	99	168
372	99	167
